Song title,Producer,VIRTUAL SINGER ver. singers,SEKAI ver. singers,Unit,3DPV,Date added,Description,Table,Expected release date,Date released,Date removed,Reason
Ringo Uri no Utakata Shoujo,yukkedoluce,GUMI,"Hoshino Ichika, Tenma Saki, Kagamine Len",Leo/need,No,2024/07/17,,Table 1,,,,
Syndrome,Miyamori Bungaku,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/01/22,18th Proseka NEXT Song Contest Winner,Table 1,,,,
Overcode,ienu,Hatsune Miku,N/A,VIRTUAL SINGER,No,2023/12/22,18th Proseka NEXT Song Contest Winner,Table 1,,,,
folern,nulut,N/A,N/A,N/A,No,2024/01/11,Project SEKAI×CHUNITHM LUMINOUS Collaboration,Table 1,,,,
Sage,Camellia,N/A,N/A,N/A,No,2024/01/18,Project SEKAI×maimai Deluxe BUDDiES Collaboration,Table 1,,,,
MarbleBlue.,MisoilePunch♪,N/A,N/A,N/A,No,2024/01/25,Project SEKAI×O.N.G.E.K.I. bright MEMORIA Collaboration,Table 1,,,,
Netsu Ijou,iyowa,Adachi Rei,"25-ji, Nightcord de., KAITO","25-ji, Nightcord de.",Yes,2024/05/17,,Table 1,,,,
Electric Angel,Yasuo,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/03/30,3.5th Anniversary Song Campaign,Table 1,,,,
Dokuzu,NAKISO,Kaai Yuki,"Asahina Mafuyu, Shinonome Ena, Hatsune Miku","25-ji, Nightcord de.",No,2024/03/04,,Table 1,,,,
Kibou no Tsuki,nakyamurya,Yuzuki Yukari,"Leo/need, MEIKO",Leo/need,No,2024/03/27,,Table 1,,,,
Batsubyou,Nanahoshi Orchestra,Megurine Luka,"Leo/need, Megurine Luka",Leo/need,Yes,2024/06/03,,Table 1,,,,
Odorobo,Umicha,"Kotonoha Akane, Kotonoha Aoi, Zundamon",N/A,VIRTUAL SINGER,No,2024/02/04,1st rank in Rookie Category of The VOCALOID Collection 2023 Summer,Table 1,,,,
Red Land Marker,Twinfield,MEIKO,N/A,VIRTUAL SINGER,No,2024/03/31,3.5th Anniversary Song Campaign,Table 1,,,,
Happy Cheat Day,"rerulili, tepe (arranger)",Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/02/10,SNOW MIKU 2024 Theme Song,Table 1,,,,
Intergalactic Bound,"Yunosuke, CircusP",Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/07/04,"MIKU EXPO 10th Anniversary Theme Song, Global server time-exclusive song",Table 1,,,,
Garnet no Namida,Kashii Moimi,KAITO,N/A,VIRTUAL SINGER,No,2024/04/03,3.5th Anniversary Song Campaign,Table 1,,,,
Ai no Uta,Daibakuhashin,"Hatsune Miku, Kasane Teto",N/A,VIRTUAL SINGER,No,2024/04/02,3.5th Anniversary Song Campaign,Table 1,,,,
Juuroku Sai no Shinzou,TakoyakiKZY,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/02/13,19th Proseka NEXT Song Contest Winner,Table 1,,,,
Lag Train,inabakumori,Kaai Yuki,"Yoisaki Kanade, Akiyama Mizuki, MEIKO","25-ji, Nightcord de.",No,2024/02/29,,Table 1,,,,
Hajimete no Oto,malo,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/03/09,Miku Day 2024,Table 1,,,,
Mind Brand,MARETU,Hatsune Miku,"25-ji, Nightcord de., Hatsune Miku","25-ji, Nightcord de.",Yes,2024/07/29,,Table 1,,,,
Chigau!!!,Carlos Hakamada,"Hatsune Miku, Otomachi Una","Wonderlands×Showtime, Hatsune Miku",Wonderlands×Showtime,Yes,2024/09/02,,Table 1,,,,
Shadow Shadow,Azari,flower,"25-ji, Nightcord de., Kagamine Len","25-ji, Nightcord de.",Yes,2024/10/09,4th Anniversary Song Campaign,Table 1,,,,
Mozaik Role (Reloaded),DECO*27,Hatsune Miku,"Leo/need, KAITO",Leo/need,Yes,2024/10/01,4th Anniversary Song Campaign,Table 1,,,,
Ochame Kinou,LamazeP (GojimajiP),Kasane Teto,"Wonderlands×Showtime, Kagamine Len",Wonderlands×Showtime,No,2024/05/07,,Table 1,,,,
Meikyou Shisui,Tabiji,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/03/08,19th Proseka NEXT Song Contest Winner,Table 1,,,,
Dame Ningen da!,Usushioshisuu,Kasane Teto,"MORE MORE JUMP!, Hatsune Miku",MORE MORE JUMP!,No,2024/05/24,,Table 1,,,,
A Kotoba,Sasuke Haraguchi,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/03/15,1st rank in One-Image MV Submission Festival,Table 1,,,,
Henceforth,Orangestar,IA,"Leo/need, Hatsune Miku",Leo/need,Yes,2025/01/10,,Table 1,,,,
Dandan Hayaku Naru,40mP,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/04/04,3.5th Anniversary Song Campaign,Table 1,,,,
Ogyarinizer,Ponchi♪,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/04/19,2nd Proseka ULTIMATE Song Contest Winner,Table 1,,,,
Daijoubu Desu Ka?,cosMo@BousouP,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/07/09,2nd Proseka ULTIMATE Song Contest Winner,Table 1,,,,
Memoria,Aira,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/10/21,2nd Proseka ULTIMATE Song Contest Winner,Table 1,,,,
Rumor,Police Piccadilly,GUMI,"Vivid BAD SQUAD, KAITO",Vivid BAD SQUAD,Yes,2025/02/21,,Table 1,,,,
Cat Loving,Kashii Moimi,KAFU,"Yoisaki Kanade, Shinonome Ena, Megurine Luka","25-ji, Nightcord de.",Yes,2024/11/13,,Table 1,,,,
Kyou mo Harebare,Fuwari-P,GUMI,"Wonderlands×Showtime, Kagamine Rin",Wonderlands×Showtime,No,2024/06/10,,Table 1,,,,
Poppin' Candy☆Fever!,kinoshita,"Otomachi Una, Kagamine Rin","MORE MORE JUMP!, Kagamine Rin",MORE MORE JUMP!,No,2024/07/01,,Table 1,,,,
Superhero,Guiano,IA,"Kiritani Haruka, Momoi Airi, KAITO",MORE MORE JUMP!,No,2024/09/09,,Table 1,,,,
Silver Collector,Shu,Megurine Luka,N/A,VIRTUAL SINGER,No,2024/04/22,20th Proseka NEXT Song Contest Winner,Table 1,,,,
Konton Boogie,jon-YAKITORY,Hatsune Miku,"Wonderlands×Showtime, KAITO",Wonderlands×Showtime,Yes,2024/12/29,"Project SEKAI Championship 2024 Autumn song,New Year's Song Campaign (2024-2025)",Table 1,,,,
Bad Apple!! feat. SEKAI,"beatMARIO (COOL&CREATE), Maron, ZUN, Minoshima Masayoshi, Marasy, Haruka",Hatsune Miku,"25-ji, Nightcord de., Hatsune Miku","25-ji, Nightcord de.",No,2024/05/04,Project SEKAI×Touhou Project Collaboration,Table 1,,,,
"Help me, ERINNNNNN!!","beatMARIO (COOL&CREATE), Maron, ZUN","Hatsune Miku, Kagamine Rin, Kagamine Len, Megurine Luka, MEIKO, KAITO",N/A,VIRTUAL SINGER,No,2024/05/05,Project SEKAI×Touhou Project Collaboration,Table 1,,,,
Chou Saishuu Kichiku Imouto Flandre S,"beatMARIO (COOL&CREATE), Maron, ZUN",N/A,N/A,N/A,No,2024/05/03,Project SEKAI×Touhou Project Collaboration,Table 1,,,,
I know Ainou.,Yoshida Yasei,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/05/20,20th Proseka NEXT Song Contest Winner,Table 1,,,,
Call Boy,syudou,Hatsune Miku,"Shinonome Akito, Aoyagi Toya, Hatsune Miku",Vivid BAD SQUAD,No,2024/10/05,4th Anniversary Song Campaign,Table 1,,,,
QUEEN,Kanaria,GUMI,"Otori Emu, Kusanagi Nene, MEIKO",Wonderlands×Showtime,No,2024/08/26,,Table 1,,,,
Liar Dancer,Masarada,Kasane Teto,"Wonderlands×Showtime, KAITO",Wonderlands×Showtime,Yes,2025/03/10,,Table 1,,,,
Shippaisaku Shoujo,Kairiki Bear,Hatsune Miku,"25-ji, Nightcord de., MEIKO","25-ji, Nightcord de.",Yes,2025/05/12,"Was intended to be released on 25/2/25, delayed due to a bug",Table 1,,,,
Kisaragi Attention,Jin,Hatsune Miku,"MORE MORE JUMP!, Megurine Luka",MORE MORE JUMP!,No,2024/10/03,4th Anniversary Song Campaign,Table 1,,,,
Gousei Suru Mirai,Asyu,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/06/24,21st Proseka NEXT Song Contest Winner,Table 1,,,,
CH4NGE,"Giga, q*left (lyricist)",KAFU,"Vivid BAD SQUAD, Kagamine Rin",Vivid BAD SQUAD,No,2025/01/01,New Year's Song Campaign (2024-2025),Table 1,,,,
Igaku,Sasuke Haraguchi,Kasane Teto,N/A,VIRTUAL SINGER,No,2024/08/03,1st rank in TOP 100 Category of The VOCALOID Collection 2024 Winter,Table 1,,,,
Achikochi Date-san,Dagashi Ogata,Merrow,N/A,VIRTUAL SINGER,No,2024/08/04,1st rank in Rookie Category of The VOCALOID Collection 2024 Winter,Table 1,,,,
Merry Go Round,Negi Shower-P,"Hatsune Miku, KAITO",N/A,VIRTUAL SINGER,No,2024/07/22,21st Proseka NEXT Song Contest Winner,Table 1,,,,
Mikaboshi,3106.,KAITO,N/A,VIRTUAL SINGER,No,2024/12/02,,Table 1,,,,
Toumei Elegy,n-buna,GUMI,"Leo/need, Kagamine Len",Leo/need,Yes,2025/03/17,,Table 1,,,,
Override,Yoshida Yasei,Kasane Teto,"MORE MORE JUMP!, Kagamine Rin",MORE MORE JUMP!,Yes,2025/03/07,,Table 1,,,,
WAVE,niki,Lily,"Vivid BAD SQUAD, Megurine Luka",Vivid BAD SQUAD,No,2024/08/13,,Table 1,,,,
Kimi to Boku no Resonance,Nanameue-P,MEIKO,N/A,VIRTUAL SINGER,No,2024/10/06,"MEIKO 15th Anniversary Theme Song,4th Anniversary Song Campaign",Table 1,,,,
Antenna 39,Hiiragi Magnetite,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/08/30,Magical Mirai 2024 Theme Song,Table 1,,,,
Suisei no Kuni,Matsushita Leo,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/08/19,22nd Proseka NEXT Song Contest Winner,Table 1,,,,
Culture,Tsumiki,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/09/13,,Table 1,,,,
Cat Food,doriko,Hatsune Miku,"MORE MORE JUMP!, Hatsune Miku",MORE MORE JUMP!,No,2024/10/15,,Table 1,,,,
Mesmerizer,Satsuki,"Hatsune Miku, Kasane Teto",N/A,VIRTUAL SINGER,No,2024/10/02,4th Anniversary Song Campaign,Table 1,,,,
Layer Note,Yoshida Yoshiyuki,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/09/17,22nd Proseka NEXT Song Contest Winner,Table 1,,,,
Tensei Ringo,PinocchioP,Hatsune Miku,"Wonderlands×Showtime, Hatsune Miku",Wonderlands×Showtime,No,2024/10/07,4th Anniversary Song Campaign,Table 1,,,,
World Lampshade (reunion),buzzG,GUMI,"Leo/need, KAITO",Leo/need,No,2025/01/03,New Year's Song Campaign (2024-2025),Table 1,,,,
Fire◎Flower (Rerec),halyosy,Kagamine Len,"Shinonome Akito, Aoyagi Toya, Tenma Tsukasa, Kamishiro Rui, Kagamine Len, KAITO",Mixed,Yes,2025/03/02,Surprise performed at theConnect Live Special Edition - Ensemble in SEKAIlive,Table 1,,,,
Hana ni Kaze,Balloon,Hatsune Miku,"Vivid BAD SQUAD, Hatsune Miku",Vivid BAD SQUAD,Yes,2025/04/08,,Table 1,,,,
Main Character,*Luna,Kagamine Len,N/A,VIRTUAL SINGER,No,2024/10/04,4th Anniversary Song Campaign,Table 1,,,,
Blackjack,YuchaP,Megurine Luka,N/A,VIRTUAL SINGER,No,2024/10/08,4th Anniversary Song Campaign,Table 1,,,,
Mousou Aspartame,picco,Hatsune Miku,"MORE MORE JUMP!, MEIKO",MORE MORE JUMP!,No,2024/11/05,,Table 1,,,,
Nouten,Murata Shiyuu,Kagamine Rin,N/A,VIRTUAL SINGER,No,2024/10/28,23rd Proseka NEXT Song Contest Winner,Table 1,,,,
Shuuen Touhikou,Hiiragi Magnetite,Hatsune Miku,"Leo/need, Megurine Luka",Leo/need,No,2025/02/01,,Table 1,,,,
M@GICAL☆CURE! LOVE ♥ SHOT!,SAWTOWNE,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/07/01,"MIKU EXPO 10th Anniversary Song Contest Grand Prize, Global server time-exclusive song",Table 1,,,,
Parry,Miyamori Bungaku,"Kagamine Rin, Kagamine Len",N/A,VIRTUAL SINGER,No,2024/11/25,23rd Proseka NEXT Song Contest Winner,Table 1,,,,
snooze,wotaku,Hatsune Miku,"MORE MORE JUMP!, Kagamine Len",MORE MORE JUMP!,No,2025/01/02,"Project SEKAI Championship 2024 Autumn song, New Year's Song Campaign (2024-2025)",Table 1,,,,
Saihate,Kobayashi Onyx,Hatsune Miku,"25-ji, Nightcord de., Hatsune Miku","25-ji, Nightcord de.",No,2025/01/05,New Year's Song Campaign (2024-2025),Table 1,,,,
Hanaobore,shikisai,"Hatsune Miku, Kanade Kanon","Vivid BAD SQUAD, Hatsune Miku",Vivid BAD SQUAD,No,2024/12/23,Project SEKAI Academywinner,Table 1,,,,
No da,Daibakuhashin,"Hatsune Miku, Kasane Teto, Zundamon",N/A,VIRTUAL SINGER,No,2025/01/04,"Project SEKAI Championship 2024 Autumn song, New Year's Song Campaign (2024-2025)",Table 1,,,,
Protodisco,nulut,flower,N/A,VIRTUAL SINGER,No,2024/12/31,"Project SEKAI Championship 2024 Autumn song, New Year's Song Campaign (2024-2025)",Table 1,,,,
Ángel,Kairiki Bear,Meika Mikoto,N/A,VIRTUAL SINGER,No,2024/12/30,"Project SEKAI Championship 2024 Autumn song, New Year's Song Campaign (2024-2025)",Table 1,,,,
Natsu ni Toumei,Twinfield,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/01/21,24th Proseka NEXT Song Contest Winner,Table 1,,,,
Panda Hero,Hachi,GUMI,N/A,VIRTUAL SINGER,No,2025/01/22,Hachi Tie-In,Table 1,,,,
Musunde Hiraite Rasetsu to Mukuro,Hachi,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/01/23,Hachi Tie-In,Table 1,,,,
Secret Seeker,YAMAGISHI KOJI,Hatsune Miku,N/A,VIRTUAL SINGER,No,2024/12/16,24th Proseka NEXT Song Contest Winner,Table 1,,,,
Mikazuki Step,r-906,Hatsune Miku,"Azusawa Kohane, Shirashi An, MEIKO",Vivid BAD SQUAD,No,2025/03/03,,Table 1,,,,
Chuubyou Gekihatsu Boy,rerulili,Kagamine Len,"Tenma Tsukasa, Kamishiro Rui, Kagamine Len",Wonderlands×Showtime,No,2025/01/14,,Table 1,,,,
Rule Book,Fujiwara Hagane,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/02/12,25th Proseka NEXT Song Contest Winner,Table 1,,,,
Planet Hero,"D-D-Dice, irucaice",Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/03/14,25th Proseka NEXT Song Contest Winner,Table 1,,,,
Balleriko,MikitoP,GUMI,N/A,VIRTUAL SINGER,No,2025/04/05,4.5th Anniversary Song Campaign,Table 1,,,,
Manhattan,wotaku,MEIKO,N/A,VIRTUAL SINGER,No,2025/04/03,4.5th Anniversary Song Campaign,Table 1,,,,
Yoshiwara Lament -Sairai-ban-,Asa,Kasane Teto,N/A,VIRTUAL SINGER,No,2025/04/02,4.5th Anniversary Song Campaign,Table 1,,,,
Queen of Hearts,Kanon69,Megurine Luka,N/A,VIRTUAL SINGER,No,2025/04/04,4.5th Anniversary Song Campaign,Table 1,,,,
Crystal Snow,Aqu3ra,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/02/08,SNOW MIKU 2025 Theme Song,Table 1,,,,
Call!!,Matsubi,KAITO,N/A,VIRTUAL SINGER,No,2025/03/31,4.5th Anniversary Song Campaign,Table 1,,,,
Envy Catwalk,Tohma,Hatsune Miku,"Leo/need, Hatsune Miku",Leo/need,No,2025/05/26,,Table 1,,,,
Do Re Mi Fa Rondo,40mP,Hatsune Miku,"Wonderlands×Showtime, Megurine Luka",Wonderlands×Showtime,No,2025/03/24,,Table 1,,,,
Packaged,kz (livetune),Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/03/09,Miku Day 2025,Table 1,,,,
Suicide Parade,YurryCanon,GUMI,"25-ji, Nightcord de., KAITO","25-ji, Nightcord de.",No,2025/04/14,,Table 1,,,,
Mawaru Sora Usagi,Orangestar,Hatsune Miku,"Hanasato Minori, Hinomori Shizuku, Megurine Luka",MORE MORE JUMP!,No,2025/04/22,,Table 1,,,,
Hoshizora Melancholia,yuichi NAGAO,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/04/18,26th Proseka NEXT Song Contest Winner,Table 1,,,,
Connecting,halyosy,"Hatsune Miku, Kagamine Rin, Kagamine Len, Megurine Luka, MEIKO, KAITO",N/A,VIRTUAL SINGER,No,2025/05/23,,Table 1,,,,
Shama,Niru Kajitsu,flower,"Vivid BAD SQUAD, Kagamine Len",Vivid BAD SQUAD,No,2025/05/09,,Table 1,,,,
Cho-Night of Knights/Knight of Nights,"beatMARIO (COOL&CREATE), Maron, ZUN",N/A,N/A,N/A,No,2025/05/05,Project SEKAI×Touhou Project Collaboration,Table 1,,,,
Touhou☆Wonderland,"beatMARIO (COOL&CREATE), Maron, ZUN, Tokyo Active NEETs","Hatsune Miku, Kagamine Rin, Kagamine Len, Megurine Luka, MEIKO, KAITO","Wonderlands×Showtime, Hatsune Miku, KAITO",Wonderlands×Showtime,No,2025/05/04,Project SEKAI×Touhou Project Collaboration,Table 1,,,,
Cirno no Perfect Sansuu Gakuen,"beatMARIO (COOL&CREATE), Maron, ZUN,  Yoshimi Youno, ARM","Hatsune Miku, Kagamine Rin, Kagamine Len, Megurine Luka, MEIKO, KAITO",N/A,VIRTUAL SINGER,No,2025/05/03,Project SEKAI×Touhou Project Collaboration,Table 1,,,,
"Kono Fuzaketa Subarashiki Sekai wa, Boku no Tame ni Aru",n.k,Hatsune Miku,"Wonderlands×Showtime, MEIKO",Wonderlands×Showtime,No,2025/06/09,,Table 1,,,,
Fish and Tips,Dopam!ne,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/05/19,26th Proseka NEXT Song Contest Winner,Table 1,,,,
Tetoris,Hiiragi Magnetite,Kasane Teto,N/A,VIRTUAL SINGER,No,2025/06/02,,Table 1,,,,
Monitoring,"DECO*27, Hayato Yamamoto (arranger)",Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/06/16,,Table 1,,,,
Niwashi no Ohanashi ni yoru to,InoutsuhaSA,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/06/23,27th Proseka NEXT Song Contest Winner,Table 1,,,,
Explore,Haru-ichiban,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/07/18,27th Proseka NEXT Song Contest Winner,Table 1,,,,
Waraetara Ee yan!,inno,"Kagamine Rin, Kagamine Len",N/A,VIRTUAL SINGER,No,2025/07/07,Short Song Contest: Proseka 60sec Contest Winner,Table 1,,,,
"Kaben, Sore ni Matsuwaru Onsei",Avaraya,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/08/02,1st rank in TOP 100 Category of The VOCALOID Collection 2025 Winter,Table 1,,,,
Marionette Dancer,Hiragi,Hatsune Miku,N/A,VIRTUAL SINGER,No,2025/08/03,1st rank in Rookie Category of The VOCALOID Collection 2025 Winter,Table 1,,,,
Ikiru,Mizuno Atsu,KAFU,"Yoisaki Kanade, Akiyama Mizuki, MEIKO","25-ji, Nightcord de.",No,2025/07/28,,Table 1,,,,
Life Will Change,"Benjamin Franklin, Shoji Meguro, nulut","Hatsune Miku, Kagamine Rin, Kagamine Len",N/A,VIRTUAL SINGER,No,2025/08/04,Project SEKAI×Persona 5 Royal Collaboration,Table 1,,,,
Sekai wa Mada Hajimatte sura Inai,PinocchioP,Hatsune Miku,"Wonderlands×Showtime, Hatsune Miku",Wonderlands×Showtime,Yes,2020/09/30,Wonderlands×Showtime's image song,Table 2,,,,
